state,City,median_income
AL,Abanda,11207.0
AL,Abbeville,25615.0
AL,Adamsville,42575.0
AL,Addison,37083.0
AL,Akron,21667.0
AL,Alabaster,71816.0
AL,Albertville,32911.0
AL,Alexander City,29874.0
AL,Alexandria,56058.0
AL,Aliceville,21131.0
AL,Allgood,42009.0
AL,Altoona,27566.0
AL,Andalusia,31968.0
AL,Anderson,34792.0
AL,Anniston,29681.0
AL,Arab,40292.0
AL,Ardmore,35670.0
AL,Argo,57212.0
AL,Ariton,24286.0
AL,Arley,28750.0
AL,Ashford,42704.0
AL,Ashland,31438.0
AL,Ashville,40547.0
AL,Athens,47542.0
AL,Atmore,26775.0
AL,Attalla,37191.0
AL,Auburn,38342.0
AL,Autaugaville,24833.0
AL,Avon,40417.0
AL,Axis,55750.0
AL,Babbie,41912.0
AL,Baileyton,31875.0
AL,Bakerhill,31875.0
AL,Ballplay,37778.0
AL,Banks,28750.0
AL,Bay Minette,31576.0
AL,Bayou La Batre,34583.0
AL,Bear Creek,35563.0
AL,Beatrice,18417.0
AL,Beaverton,31875.0
AL,Belgreen,27750.0
AL,Belk,28906.0
AL,Bellamy,22132.0
AL,Belle Fontaine,34615.0
AL,Benton,40577.30952380953
AL,Berry,25865.0
AL,Bessemer,29615.0
AL,Billingsley,41250.0
AL,Birmingham,31061.0
AL,Black,41071.0
AL,Blountsville,30152.0
AL,Blue Ridge,96333.0
AL,Blue Springs,45313.0
AL,Boaz,35974.0
AL,Boligee,12173.0
AL,Bon Air,23750.0
AL,Bon Secour,40577.30952380953
AL,Boykin,40577.30952380953
AL,Brantley,27870.0
AL,Brantleyville,40370.0
AL,Brent,33924.0
AL,Brewton,31033.0
AL,Bridgeport,28571.0
AL,Brighton,22146.0
AL,Brilliant,25893.0
AL,Bristow Cove,40577.30952380953
AL,Brook Highland,60212.0
AL,Brookside,34554.0
AL,Brookwood,51515.0
AL,Broomtown,28750.0
AL,Brundidge,23819.0
AL,Bucks,40577.30952380953
AL,Butler,28950.0
AL,Calera,62893.0
AL,Calvert,40577.30952380953
AL,Camden,28375.0
AL,Camp Hill,25118.0
AL,Carbon Hill,25990.0
AL,Cardiff,40577.30952380953
AL,Carlisle-Rockledge,35938.0
AL,Carlton,40577.30952380953
AL,Carolina,50278.0
AL,Carrollton,27857.0
AL,Castleberry,20677.0
AL,Catherine,40577.30952380953
AL,Cedar Bluff,36389.0
AL,Center Point,39944.0
AL,Centre,31268.0
AL,Centreville,41103.0
AL,Chatom,35365.0
AL,Chelsea,85757.0
AL,Cherokee,28359.0
AL,Chickasaw,30973.0
AL,Childersburg,25948.0
AL,Choccolocco,54825.0
AL,Chunchula,40577.30952380953
AL,Citronelle,48125.0
AL,Clanton,39823.0
AL,Clay,68717.0
AL,Clayhatchee,32656.0
AL,Clayton,25203.0
AL,Cleveland,40909.0
AL,Clio,19539.0
AL,Coaling,54167.0
AL,Coats Bend,42821.0
AL,Coffee Springs,33636.0
AL,Coffeeville,19583.0
AL,Coker,45795.0
AL,Collinsville,25795.0
AL,Colony,33063.0
AL,Columbia,31806.0
AL,Columbiana,32700.0
AL,Concord,44620.0
AL,Coosada,47406.0
AL,Cordova,19139.0
AL,Cottondale,43875.0
AL,Cottonwood,25313.0
AL,County Line,55313.0
AL,Courtland,33125.0
AL,Cowarts,43533.0
AL,Creola,51705.0
AL,Crossville,30833.0
AL,Cuba,40673.0
AL,Cullman,38746.0
AL,Cullomburg,40577.30952380953
AL,Cusseta,52500.0
AL,Dadeville,29368.0
