state,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Abanda,67.2,30.2,0.0,0.0,1.6
AL,Abbeville,54.4,41.4,0.1,1.0,3.1
AL,Adamsville,52.3,44.9,0.5,0.3,2.3
AL,Addison,99.1,0.1,0.0,0.1,0.4
AL,Akron,13.2,86.5,0.0,0.0,0.3
AL,Alabaster,79.4,13.5,0.4,0.9,9.0
AL,Albertville,75.9,1.9,0.8,0.5,27.9
AL,Alexander City,62.2,32.0,0.2,0.9,4.8
AL,Alexandria,87.4,10.2,0.3,0.5,0.9
AL,Aliceville,22.6,74.9,0.1,0.0,1.2
AL,Allgood,79.6,0.6,0.3,0.6,49.4
AL,Altoona,95.8,1.7,0.2,0.2,1.1
AL,Andalusia,70.5,25.9,0.4,1.0,1.9
AL,Anderson,97.9,0.0,0.4,0.0,0.7
AL,Anniston,44.7,51.5,0.3,0.8,2.7
AL,Arab,96.6,0.1,0.6,0.7,1.7
AL,Ardmore,94.3,1.9,0.8,0.9,1.3
AL,Argo,94.1,3.6,0.4,0.3,0.5
AL,Ariton,78.3,19.2,0.0,0.1,6.0
AL,Arley,94.4,0.0,0.6,0.3,1.4
AL,Ashford,79.0,19.5,0.2,0.2,0.8
AL,Ashland,71.5,24.1,0.3,0.7,5.7
AL,Ashville,75.8,20.3,0.2,0.3,3.8
AL,Athens,73.0,17.5,0.6,0.9,8.8
AL,Atmore,40.0,55.6,1.8,0.3,1.8
AL,Attalla,81.5,12.7,0.4,0.5,4.7
AL,Auburn,75.1,16.5,0.3,5.3,2.9
AL,Autaugaville,31.3,66.8,0.2,0.0,0.8
AL,Avon,94.7,1.8,1.8,0.0,1.3
AL,Axis,66.8,26.9,3.2,0.1,0.9
AL,Babbie,96.7,0.0,0.0,1.5,0.2
AL,Baileyton,96.2,0.2,0.5,0.0,1.5
AL,Bakerhill,61.6,35.5,0.7,0.0,1.1
AL,Ballplay,97.5,0.1,0.7,0.3,1.0
AL,Banks,69.3,24.6,2.2,0.0,1.1
AL,Bay Minette,60.4,35.3,1.0,0.8,1.8
AL,Bayou La Batre,60.3,12.3,0.4,22.8,2.8
AL,Bear Creek,97.1,0.1,0.7,0.2,1.8
AL,Beatrice,23.6,76.1,0.3,0.0,0.0
AL,Beaverton,95.0,5.0,0.0,0.0,1.0
AL,Belgreen,96.1,0.0,0.0,0.0,3.9
AL,Belk,95.8,2.8,0.0,0.5,0.9
AL,Bellamy,8.3,90.8,0.0,0.9,1.3
AL,Belle Fontaine,92.3,1.6,0.5,2.3,3.6
AL,Benton,81.6,18.4,0.0,0.0,0.0
AL,Berry,90.8,7.4,0.0,0.0,0.8
AL,Bessemer,24.3,71.2,0.3,0.2,4.1
AL,Billingsley,86.1,11.1,2.1,0.0,0.7
AL,Birmingham,22.3,73.4,0.2,1.0,3.6
AL,Black,92.3,6.3,0.0,0.0,0.0
AL,Blountsville,87.3,0.7,1.0,0.4,15.3
AL,Blue Ridge,94.5,2.7,0.7,0.9,1.0
AL,Blue Springs,92.7,6.3,0.0,1.0,3.1
AL,Boaz,87.3,1.8,0.4,0.7,14.2
AL,Boligee,8.8,90.2,0.0,0.0,0.3
AL,Bon Air,80.2,6.9,2.6,0.0,2.6
AL,Boykin,4.0,95.3,0.0,0.0,0.7
AL,Brantley,56.1,38.8,0.6,0.5,2.0
AL,Brantleyville,82.1,3.3,0.9,0.5,12.6
AL,Brent,45.1,53.5,0.1,0.0,2.1
AL,Brewton,54.1,42.6,0.7,0.4,2.2
AL,Bridgeport,84.0,8.6,1.9,0.2,1.7
AL,Brighton,6.5,81.0,1.0,0.0,13.8
AL,Brilliant,98.3,0.2,0.1,0.1,1.6
AL,Bristow Cove,91.1,0.0,1.5,0.1,6.6
AL,Brook Highland,73.6,16.2,0.2,4.4,7.8
AL,Brookside,79.5,18.5,0.3,0.1,0.7
AL,Brookwood,92.2,5.3,0.7,0.1,2.0
AL,Broomtown,98.4,1.6,0.0,0.0,0.0
AL,Brundidge,34.1,62.9,0.5,0.6,3.0
